time,open,high,low,close,volume
2026-02-10,465.9600,466.7500,459.5200,462.4000,0
2026-02-11,466.0000,468.6100,462.8200,467.6300,0
2026-02-12,464.9000,466.3800,448.0600,451.3900,0
2026-02-13,459.7300,463.8399,456.2500,462.6200,0
2026-02-17,450.2600,451.3700,445.5300,448.2000,0
2026-02-18,455.8100,460.5100,455.3240,458.2800,0
2026-02-19,457.3400,461.5050,456.0300,459.5600,0
2026-02-20,463.2500,468.6200,458.3400,468.6200,0
2026-02-23,474.6500,481.4600,474.6100,481.2800,0
2026-02-24,470.0850,475.4400,469.5500,474.6100,0
2026-02-25,475.7400,479.5300,472.9000,473.4200,0
2026-02-26,474.9500,477.8300,442.0400,477.4800,0
2026-02-27,480.7500,483.9000,479.1100,483.7500,0
2026-03-02,490.0950,492.1500,483.2800,490.0000,0
2026-03-03,472.8300,473.2000,458.9300,468.1400,0
2026-03-04,474.8200,476.4150,469.3900,471.8000,0
2026-03-05,470.4500,470.6700,463.9100,466.1300,0
2026-03-06,469.0400,475.4600,467.0700,473.5100,0
2026-03-09,468.0900,472.6800,464.7900,472.5300,0
2026-03-10,479.7400,481.3100,474.2100,477.8600,0
2026-03-11,476.1300,477.4500,473.1300,476.2400,0
2026-03-12,475.0200,475.0200,466.6000,466.8800,0
2026-03-13,469.3100,470.1020,460.2200,460.8400,0
2026-03-16,461.2650,462.8000,456.9050,460.4300,0
2026-03-17,460.5100,462.2100,456.8700,459.2700,0
2026-03-18,446.6600,450.0600,444.3900,444.7400,0
2026-03-19,420.3600,428.2677,416.8000,426.4100,0
2026-03-20,428.0900,428.5900,411.2300,413.3800,0
2026-03-23,405.1200,414.5400,399.6401,404.0400,0
2026-03-24,400.2400,407.2900,399.2000,404.1300,0
2026-03-25,419.7050,420.6600,412.2500,416.2900,0
2026-03-26,408.5300,411.3700,400.2600,400.6400,0
2026-03-27,406.2000,418.4000,405.4100,414.7000,0
2026-03-30,419.5400,420.1000,412.6600,414.5800,0
2026-03-31,420.0750,430.5700,419.5900,430.2900,0
2026-04-01,435.0000,440.1900,433.7600,437.8200,0
2026-04-02,422.2900,431.6700,421.1700,429.4100,0
2026-04-06,428.8700,431.4900,426.7100,427.6500,0
2026-04-07,427.8950,433.4300,423.1000,431.8100,0
2026-04-08,439.9800,440.4400,431.3100,434.5300,0
2026-04-09,436.4700,440.9050,435.8700,437.9100,0
2026-04-10,438.5900,440.3500,436.0000,437.1300,0
2026-04-13,434.7750,436.2200,431.6300,435.3600,0
2026-04-14,439.3200,445.1800,439.0200,445.0900,0
2026-04-15,442.8800,443.7400,439.6000,440.4600,0
2026-04-16,442.1500,442.9800,438.1800,440.0800,0
2026-04-17,445.6500,448.7000,445.3200,445.9300,0
2026-04-20,443.1300,443.4200,440.0500,442.0900,0
2026-04-21,438.5500,440.2450,428.7100,429.5700,0
2026-04-22,436.2700,437.1700,433.7800,435.2600,0
2026-04-23,433.9600,435.2913,428.2200,431.0400,0
2026-04-24,431.3350,435.2800,430.6501,433.2500,0
2026-04-27,431.6600,431.8000,428.5200,429.8900,0
2026-04-28,420.7200,422.5200,418.4000,421.9100,0
2026-04-29,416.7400,419.1705,414.1600,417.4100,0
2026-04-30,425.3400,425.4600,422.7394,423.6600,0
2026-05-01,421.4120,427.9300,421.0800,423.1800,0
2026-05-04,418.8400,420.8600,413.2801,414.7100,0
2026-05-05,420.1500,421.1600,417.9050,418.2700,0
2026-05-06,430.1500,433.1900,429.6000,430.9600,0
2026-05-07,435.6100,437.4200,430.2500,431.6800,0
2026-05-08,434.0500,436.2000,431.7000,433.7700,0
2026-05-11,434.1820,436.0400,432.2100,434.6500,0
2026-05-12,430.7000,432.9800,425.8500,432.9300,0
2026-05-13,430.5200,432.4900,428.7500,430.5000,0
2026-05-14,430.3000,431.5400,427.1000,427.2100,0
2026-05-15,417.6400,419.2484,414.1200,417.2900,0
2026-05-18,419.8200,420.9299,416.0600,418.4300,0
2026-05-19,412.4500,414.4700,409.8808,411.5000,0
2026-05-20,412.1400,417.9900,410.0800,417.4000,0
2026-05-21,413.1400,418.4200,411.9500,416.9900,0
2026-05-22,415.1700,415.6800,412.0000,413.8200,0
2026-05-26,415.1600,415.9800,411.5000,414.0000,0
2026-05-27,404.3350,409.2500,404.3000,408.4900,0
2026-05-28,406.4800,414.5100,405.4108,412.7700,0
2026-05-29,415.6200,421.8200,415.0800,417.1200,0
2026-06-01,409.8600,412.6100,408.2400,411.2600,0
2026-06-02,414.0800,414.3999,411.1000,411.9500,0
2026-06-03,408.3800,409.3800,406.2250,407.8700,0
2026-06-04,413.3700,414.3700,409.0100,411.2700,0
2026-06-05,404.3800,404.7190,395.9200,396.2400,0
2026-06-08,397.5200,398.9800,396.0300,397.2700,0
2026-06-09,397.5700,400.4800,388.7500,390.7800,0
2026-06-10,380.7500,384.2100,374.5500,374.5800,0
2026-06-11,373.9600,387.2100,371.8800,386.3200,0
2026-06-12,385.7300,388.7700,383.3500,386.5400,0
2026-06-15,399.4900,401.0000,396.1500,396.5500,0
2026-06-16,397.8300,398.9600,395.8200,397.6300,0
2026-06-17,397.8200,402.0400,387.0800,388.6000,0
2026-06-18,391.2400,392.5000,385.6000,387.1200,0
2026-06-22,384.2500,386.4100,382.6400,384.5900,0
2026-06-23,377.7220,380.3500,377.1700,377.3200,0
2026-06-24,364.8100,370.9000,363.3200,365.9200,0
2026-06-25,368.9900,371.0398,366.8000,369.4600,0
2026-06-26,372.2700,375.8500,371.1800,373.6300,0
2026-06-29,370.5750,371.1900,366.9700,368.5800,0
2026-06-30,369.2200,372.8300,368.2550,368.3800,0
2026-07-01,371.2050,377.7800,370.2100,370.6000,0
2026-07-02,377.4350,380.2700,376.2862,378.1300,0
2026-07-06,380.2100,382.4300,378.8300,382.1300,0
