=== QUADAPT 3-PILLAR BACKTEST (validated params) ===
settings: mean_reversion, min_quality_score=50, protective_sl_atr=1.0, profit_target_mult=0.7, hold_bars=60, require_stretch=True
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$1000.00, risk=1.0%, SL=10.3pips, pip_val=$50.00, lot=0.02
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$989.68, risk=1.0%, SL=10.1pips, pip_val=$50.00, lot=0.02
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$982.61, risk=1.0%, SL=9.9pips, pip_val=$50.00, lot=0.02
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$975.67, risk=1.0%, SL=8.2pips, pip_val=$50.00, lot=0.02
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$969.90, risk=1.0%, SL=8.6pips, pip_val=$50.00, lot=0.02
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$963.89, risk=1.0%, SL=14.0pips, pip_val=$50.00, lot=0.01
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$958.99, risk=1.0%, SL=14.0pips, pip_val=$50.00, lot=0.01
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$954.10, risk=1.0%, SL=14.0pips, pip_val=$50.00, lot=0.01
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$949.19, risk=1.0%, SL=12.4pips, pip_val=$50.00, lot=0.02
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$936.75, risk=1.0%, SL=13.3pips, pip_val=$50.00, lot=0.01
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$930.09, risk=1.0%, SL=11.6pips, pip_val=$50.00, lot=0.02
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$921.95, risk=1.0%, SL=28.5pips, pip_val=$50.00, lot=0.01
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$907.70, risk=1.0%, SL=27.5pips, pip_val=$50.00, lot=0.01
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$898.07, risk=1.0%, SL=37.2pips, pip_val=$50.00, lot=0.01
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$885.04, risk=1.0%, SL=36.9pips, pip_val=$50.00, lot=0.01
20:26:33 | INFO     | RiskEngine           | Lot for NAS100: balance=$866.56, risk=1.0%, SL=33.0pips, pip_val=$50.00, lot=0.01
